matchId,date,year,stage,homeTeam,awayTeam,actualOutcome,homeScore,awayScore,elo_homeWin,elo_draw,elo_awayWin,elo_xgHome,elo_xgAway,elo_confidence,elo_correct
wc2002-portugal-korea-republic,2002-06-14,2002,GROUP_STAGE,Portugal,Korea Republic,AWAY,0,1,0.3551,0.29,0.3548,1.35,1.35,0.3551,0
wc2002-poland-united-states,2002-06-14,2002,GROUP_STAGE,Poland,United States,HOME,3,1,0.3551,0.29,0.3548,1.35,1.35,0.3551,1
wc2002-germany-paraguay,2002-06-15,2002,LAST_16,Germany,Paraguay,HOME,1,0,0.355,0.29,0.355,1.35,1.35,0.355,0
wc2002-denmark-england,2002-06-15,2002,LAST_16,Denmark,England,AWAY,0,3,0.355,0.29,0.355,1.35,1.35,0.355,1
wc2002-sweden-senegal,2002-06-16,2002,LAST_16,Sweden,Senegal,AWAY,1,2,0.355,0.29,0.355,1.35,1.35,0.355,1
wc2002-spain-republic-of-ireland,2002-06-16,2002,LAST_16,Spain,Republic of Ireland,DRAW,1,1,0.355,0.29,0.355,1.35,1.35,0.355,0
wc2002-mexico-united-states,2002-06-17,2002,LAST_16,Mexico,United States,AWAY,0,2,0.355,0.29,0.355,1.35,1.35,0.355,1
wc2002-brazil-belgium,2002-06-17,2002,LAST_16,Brazil,Belgium,HOME,2,0,0.355,0.29,0.355,1.35,1.35,0.355,0
wc2002-japan-t-rkiye,2002-06-18,2002,LAST_16,Japan,Türkiye,AWAY,0,1,0.355,0.29,0.355,1.35,1.35,0.355,1
wc2002-korea-republic-italy,2002-06-18,2002,LAST_16,Korea Republic,Italy,HOME,2,1,0.355,0.29,0.355,1.35,1.35,0.355,0
wc2002-england-brazil,2002-06-21,2002,QUARTER_FINAL,England,Brazil,AWAY,1,2,0.355,0.29,0.355,1.35,1.35,0.355,1
wc2002-germany-united-states,2002-06-21,2002,QUARTER_FINAL,Germany,United States,HOME,1,0,0.355,0.29,0.355,1.35,1.35,0.355,0
wc2002-spain-korea-republic,2002-06-22,2002,QUARTER_FINAL,Spain,Korea Republic,DRAW,0,0,0.355,0.29,0.355,1.35,1.35,0.355,0
wc2002-senegal-t-rkiye,2002-06-22,2002,QUARTER_FINAL,Senegal,Türkiye,AWAY,0,1,0.355,0.29,0.355,1.35,1.35,0.355,1
wc2002-germany-korea-republic,2002-06-25,2002,SEMI_FINAL,Germany,Korea Republic,HOME,1,0,0.355,0.29,0.355,1.35,1.35,0.355,0
wc2002-germany-brazil,2002-06-30,2002,FINAL,Germany,Brazil,AWAY,0,2,0.355,0.29,0.355,1.35,1.35,0.355,1
wc2006-germany-costa-rica,2006-06-09,2006,GROUP_STAGE,Germany,Costa Rica,HOME,4,2,0.3551,0.29,0.3548,1.35,1.35,0.3551,1
wc2006-poland-ecuador,2006-06-09,2006,GROUP_STAGE,Poland,Ecuador,AWAY,0,2,0.3551,0.29,0.3548,1.35,1.35,0.3551,0
wc2006-england-paraguay,2006-06-10,2006,GROUP_STAGE,England,Paraguay,HOME,1,0,0.3551,0.29,0.3548,1.35,1.35,0.3551,1
wc2006-trinidad-and-tobago-sweden,2006-06-10,2006,GROUP_STAGE,Trinidad and Tobago,Sweden,DRAW,0,0,0.3551,0.29,0.3548,1.35,1.35,0.3551,0
wc2006-argentina-c-te-divoire,2006-06-10,2006,GROUP_STAGE,Argentina,Côte d'Ivoire,HOME,2,1,0.3551,0.29,0.3548,1.35,1.35,0.3551,1
wc2006-serbia-and-montenegro-netherlands,2006-06-11,2006,GROUP_STAGE,Serbia and Montenegro,Netherlands,AWAY,0,1,0.3551,0.29,0.3548,1.35,1.35,0.3551,0
wc2006-mexico-ir-iran,2006-06-11,2006,GROUP_STAGE,Mexico,IR Iran,HOME,3,1,0.3551,0.29,0.3548,1.35,1.35,0.3551,1
wc2006-angola-portugal,2006-06-11,2006,GROUP_STAGE,Angola,Portugal,AWAY,0,1,0.3551,0.29,0.3548,1.35,1.35,0.3551,0
wc2006-australia-japan,2006-06-12,2006,GROUP_STAGE,Australia,Japan,HOME,3,1,0.3551,0.29,0.3548,1.35,1.35,0.3551,1
wc2006-united-states-czech-republic,2006-06-12,2006,GROUP_STAGE,United States,Czech Republic,AWAY,0,3,0.3551,0.29,0.3548,1.35,1.35,0.3551,0
wc2006-italy-ghana,2006-06-12,2006,GROUP_STAGE,Italy,Ghana,HOME,2,0,0.3551,0.29,0.3548,1.35,1.35,0.3551,1
wc2006-korea-republic-togo,2006-06-13,2006,GROUP_STAGE,Korea Republic,Togo,HOME,2,1,0.3551,0.29,0.3548,1.35,1.35,0.3551,1
wc2006-france-switzerland,2006-06-13,2006,GROUP_STAGE,France,Switzerland,DRAW,0,0,0.3551,0.29,0.3548,1.35,1.35,0.3551,0
wc2006-brazil-croatia,2006-06-13,2006,GROUP_STAGE,Brazil,Croatia,HOME,1,0,0.3551,0.29,0.3548,1.35,1.35,0.3551,1
wc2006-spain-ukraine,2006-06-14,2006,GROUP_STAGE,Spain,Ukraine,HOME,4,0,0.3551,0.29,0.3548,1.35,1.35,0.3551,1
wc2006-tunisia-saudi-arabia,2006-06-14,2006,GROUP_STAGE,Tunisia,Saudi Arabia,DRAW,2,2,0.3551,0.29,0.3548,1.35,1.35,0.3551,0
wc2006-germany-poland,2006-06-14,2006,GROUP_STAGE,Germany,Poland,HOME,1,0,0.3551,0.29,0.3548,1.35,1.35,0.3551,1
wc2006-ecuador-costa-rica,2006-06-15,2006,GROUP_STAGE,Ecuador,Costa Rica,HOME,3,0,0.3551,0.29,0.3548,1.35,1.35,0.3551,1
wc2006-england-trinidad-and-tobago,2006-06-15,2006,GROUP_STAGE,England,Trinidad and Tobago,HOME,2,0,0.3551,0.29,0.3548,1.35,1.35,0.3551,1
wc2006-sweden-paraguay,2006-06-15,2006,GROUP_STAGE,Sweden,Paraguay,HOME,1,0,0.3551,0.29,0.3548,1.35,1.35,0.3551,1
wc2006-argentina-serbia-and-montenegro,2006-06-16,2006,GROUP_STAGE,Argentina,Serbia and Montenegro,HOME,6,0,0.3551,0.29,0.3548,1.35,1.35,0.3551,1
wc2006-netherlands-c-te-divoire,2006-06-16,2006,GROUP_STAGE,Netherlands,Côte d'Ivoire,HOME,2,1,0.3551,0.29,0.3548,1.35,1.35,0.3551,1
wc2006-mexico-angola,2006-06-16,2006,GROUP_STAGE,Mexico,Angola,DRAW,0,0,0.3551,0.29,0.3548,1.35,1.35,0.3551,0
wc2006-portugal-ir-iran,2006-06-17,2006,GROUP_STAGE,Portugal,IR Iran,HOME,2,0,0.3551,0.29,0.3548,1.35,1.35,0.3551,1
wc2006-czech-republic-ghana,2006-06-17,2006,GROUP_STAGE,Czech Republic,Ghana,AWAY,0,2,0.3551,0.29,0.3548,1.35,1.35,0.3551,0
wc2006-italy-united-states,2006-06-17,2006,GROUP_STAGE,Italy,United States,DRAW,1,1,0.3551,0.29,0.3548,1.35,1.35,0.3551,0
wc2006-japan-croatia,2006-06-18,2006,GROUP_STAGE,Japan,Croatia,DRAW,0,0,0.3551,0.29,0.3548,1.35,1.35,0.3551,0
wc2006-brazil-australia,2006-06-18,2006,GROUP_STAGE,Brazil,Australia,HOME,2,0,0.3551,0.29,0.3548,1.35,1.35,0.3551,1
wc2006-france-korea-republic,2006-06-18,2006,GROUP_STAGE,France,Korea Republic,DRAW,1,1,0.3551,0.29,0.3548,1.35,1.35,0.3551,0
wc2006-togo-switzerland,2006-06-19,2006,GROUP_STAGE,Togo,Switzerland,AWAY,0,2,0.3551,0.29,0.3548,1.35,1.35,0.3551,0
wc2006-saudi-arabia-ukraine,2006-06-19,2006,GROUP_STAGE,Saudi Arabia,Ukraine,AWAY,0,4,0.3551,0.29,0.3548,1.35,1.35,0.3551,0
wc2006-spain-tunisia,2006-06-19,2006,GROUP_STAGE,Spain,Tunisia,HOME,3,1,0.3551,0.29,0.3548,1.35,1.35,0.3551,1
