matchId,date,year,stage,homeTeam,awayTeam,actualOutcome,homeScore,awayScore,elo_homeWin,elo_draw,elo_awayWin,elo_xgHome,elo_xgAway,elo_confidence,elo_correct,ml_homeWin,ml_draw,ml_awayWin,ml_xgHome,ml_xgAway,ml_confidence,ml_correct,ensemble_homeWin,ensemble_draw,ensemble_awayWin,ensemble_xgHome,ensemble_xgAway,ensemble_confidence,ensemble_correct
wc2026-norway-france,2026-06-26,2026,Group I,Norway,France,AWAY,1,4,0.3551,0.29,0.3548,1.35,1.35,0.3551,0,0.2661,0.2144,0.5195,1.61,1.49,0.5195,1,0.2928,0.2371,0.4701,1.53,1.45,0.4701,1
wc2026-senegal-iraq,2026-06-26,2026,Group I,Senegal,Iraq,HOME,5,0,0.3551,0.29,0.3548,1.35,1.35,0.3551,1,0.6952,0.1861,0.1187,2.57,0.89,0.6952,1,0.5932,0.2173,0.1895,2.2,1.03,0.5932,1
wc2026-algeria-austria,2026-06-27,2026,Group J,Algeria,Austria,DRAW,3,3,0.3551,0.29,0.3548,1.35,1.35,0.3551,0,0.4381,0.2401,0.3218,2.63,1.5,0.4381,0,0.4132,0.2551,0.3317,2.25,1.45,0.4132,0
wc2026-jordan-argentina,2026-06-27,2026,Group J,Jordan,Argentina,AWAY,1,3,0.3551,0.29,0.3548,1.35,1.35,0.3551,0,0.1368,0.1401,0.7231,1.31,3.4,0.7231,1,0.2023,0.1851,0.6126,1.32,2.78,0.6126,1
wc2026-colombia-portugal,2026-06-27,2026,Group K,Colombia,Portugal,DRAW,0,0,0.3551,0.29,0.3548,1.35,1.35,0.3551,0,0.3863,0.2886,0.3251,2.44,1.59,0.3863,0,0.3769,0.289,0.334,2.11,1.52,0.3769,0
wc2026-dr-congo-uzbekistan,2026-06-27,2026,Group K,DR Congo,Uzbekistan,HOME,3,1,0.3551,0.29,0.3548,1.35,1.35,0.3551,1,0.2331,0.2079,0.559,1.86,2,0.559,0,0.2697,0.2325,0.4977,1.71,1.8,0.4977,0
wc2026-croatia-ghana,2026-06-27,2026,Group L,Croatia,Ghana,HOME,2,1,0.3551,0.29,0.3548,1.35,1.35,0.3551,1,0.7809,0.1324,0.0867,3.38,0.82,0.7809,1,0.6532,0.1797,0.1671,2.77,0.98,0.6532,1
wc2026-panama-england,2026-06-27,2026,Group L,Panama,England,AWAY,0,2,0.3551,0.29,0.3548,1.35,1.35,0.3551,0,0.264,0.2068,0.5292,1.72,1.83,0.5292,1,0.2913,0.2318,0.4769,1.61,1.69,0.4769,1
wc2026-south-africa-canada,2026-06-28,2026,Round of 32,South Africa,Canada,AWAY,0,1,0.355,0.29,0.355,1.35,1.35,0.355,1,0.4536,0.2067,0.3397,3.5,1.54,0.4536,0,0.424,0.2317,0.3443,2.86,1.48,0.424,0
wc2026-brazil-japan,2026-06-29,2026,Round of 32,Brazil,Japan,HOME,2,1,0.355,0.29,0.355,1.35,1.35,0.355,0,0.6393,0.2065,0.1542,2.94,1.03,0.6393,1,0.554,0.2316,0.2144,2.46,1.13,0.554,1
wc2026-germany-paraguay,2026-06-29,2026,Round of 32,Germany,Paraguay,DRAW,1,1,0.355,0.29,0.355,1.35,1.35,0.355,0,0.685,0.1968,0.1182,2.69,0.85,0.685,0,0.586,0.2248,0.1892,2.29,1,0.586,0
wc2026-netherlands-morocco,2026-06-29,2026,Round of 32,Netherlands,Morocco,DRAW,1,1,0.355,0.29,0.355,1.35,1.35,0.355,0,0.4265,0.2702,0.3033,2.65,1.44,0.4265,0,0.4051,0.2761,0.3188,2.26,1.41,0.4051,0
wc2026-france-sweden,2026-06-30,2026,Round of 32,France,Sweden,HOME,3,0,0.355,0.29,0.355,1.35,1.35,0.355,0,0.7143,0.1793,0.1064,2.8,0.84,0.7143,1,0.6065,0.2125,0.181,2.36,0.99,0.6065,1
wc2026-ivory-coast-norway,2026-06-30,2026,Round of 32,Ivory Coast,Norway,AWAY,1,2,0.355,0.29,0.355,1.35,1.35,0.355,1,0.4553,0.2062,0.3385,3.5,1.54,0.4553,0,0.4252,0.2313,0.3435,2.86,1.48,0.4252,0
wc2026-mexico-ecuador,2026-06-30,2026,Round of 32,Mexico,Ecuador,HOME,2,0,0.355,0.29,0.355,1.35,1.35,0.355,0,0.585,0.2255,0.1895,3.01,1.19,0.585,1,0.516,0.2449,0.2392,2.51,1.24,0.516,1
wc2026-belgium-senegal,2026-07-01,2026,Round of 32,Belgium,Senegal,HOME,3,2,0.355,0.29,0.355,1.35,1.35,0.355,0,0.5591,0.2159,0.225,2.99,1.13,0.5591,1,0.4979,0.2381,0.264,2.5,1.2,0.4979,1
wc2026-england-dr-congo,2026-07-01,2026,Round of 32,England,DR Congo,HOME,2,1,0.355,0.29,0.355,1.35,1.35,0.355,0,0.8149,0.1212,0.0639,4,0.87,0.8149,1,0.6769,0.1718,0.1512,3.21,1.01,0.6769,1
wc2026-usa-bosnia-and-herzegovina,2026-07-01,2026,Round of 32,USA,Bosnia & Herzegovina,HOME,2,0,0.355,0.29,0.355,1.35,1.35,0.355,0,0.4893,0.2481,0.2626,2.56,1.6,0.4893,1,0.449,0.2607,0.2903,2.2,1.53,0.449,1
wc2002-france-senegal,2002-05-31,2002,GROUP_STAGE,France,Senegal,AWAY,0,1,0.3551,0.29,0.3548,1.35,1.35,0.3551,0,0.6888,0.1807,0.1305,2.85,0.97,0.6888,0,0.5887,0.2135,0.1978,2.4,1.08,0.5887,0
wc2002-republic-of-ireland-cameroon,2002-06-01,2002,GROUP_STAGE,Republic of Ireland,Cameroon,DRAW,1,1,0.3551,0.29,0.3548,1.35,1.35,0.3551,0,0.4803,0.2002,0.3195,3.65,1.4,0.4803,0,0.4427,0.2271,0.3301,2.96,1.38,0.4427,0
wc2002-uruguay-denmark,2002-06-01,2002,GROUP_STAGE,Uruguay,Denmark,AWAY,1,2,0.3551,0.29,0.3548,1.35,1.35,0.3551,0,0.4265,0.2624,0.3111,2.86,1.56,0.4265,0,0.4051,0.2707,0.3242,2.41,1.5,0.4051,0
wc2002-germany-saudi-arabia,2002-06-01,2002,GROUP_STAGE,Germany,Saudi Arabia,HOME,8,0,0.3551,0.29,0.3548,1.35,1.35,0.3551,1,0.5186,0.2367,0.2447,3.13,1.53,0.5186,1,0.4696,0.2527,0.2777,2.6,1.48,0.4696,1
wc2002-argentina-nigeria,2002-06-02,2002,GROUP_STAGE,Argentina,Nigeria,HOME,1,0,0.3551,0.29,0.3548,1.35,1.35,0.3551,1,0.7076,0.1762,0.1162,2.72,0.82,0.7076,1,0.6019,0.2103,0.1878,2.31,0.98,0.6019,1
wc2002-paraguay-south-africa,2002-06-02,2002,GROUP_STAGE,Paraguay,South Africa,DRAW,2,2,0.3551,0.29,0.3548,1.35,1.35,0.3551,0,0.4777,0.2414,0.2809,2.81,1.7,0.4777,0,0.4409,0.256,0.3031,2.37,1.59,0.4409,0
wc2002-england-sweden,2002-06-02,2002,GROUP_STAGE,England,Sweden,DRAW,1,1,0.3551,0.29,0.3548,1.35,1.35,0.3551,0,0.6953,0.188,0.1167,2.8,0.82,0.6953,0,0.5932,0.2186,0.1881,2.37,0.98,0.5932,0
wc2002-spain-slovenia,2002-06-02,2002,GROUP_STAGE,Spain,Slovenia,HOME,3,1,0.3551,0.29,0.3548,1.35,1.35,0.3551,1,0.7802,0.1355,0.0843,3.14,0.76,0.7802,1,0.6527,0.1819,0.1655,2.6,0.94,0.6527,1
wc2002-croatia-mexico,2002-06-03,2002,GROUP_STAGE,Croatia,Mexico,AWAY,0,1,0.3551,0.29,0.3548,1.35,1.35,0.3551,0,0.452,0.2422,0.3058,3.06,1.56,0.452,0,0.4229,0.2565,0.3205,2.55,1.5,0.4229,0
wc2002-brazil-t-rkiye,2002-06-03,2002,GROUP_STAGE,Brazil,Türkiye,HOME,2,1,0.3551,0.29,0.3548,1.35,1.35,0.3551,1,0.525,0.233,0.242,2.78,1.51,0.525,1,0.474,0.2501,0.2758,2.35,1.46,0.474,1
wc2002-italy-ecuador,2002-06-03,2002,GROUP_STAGE,Italy,Ecuador,HOME,2,0,0.3551,0.29,0.3548,1.35,1.35,0.3551,1,0.7108,0.1797,0.1095,2.8,0.75,0.7108,1,0.6041,0.2128,0.1831,2.37,0.93,0.6041,1
wc2002-china-pr-costa-rica,2002-06-04,2002,GROUP_STAGE,China PR,Costa Rica,AWAY,0,2,0.3551,0.29,0.3548,1.35,1.35,0.3551,0,0.4873,0.2149,0.2978,3.6,1.75,0.4873,0,0.4476,0.2374,0.3149,2.93,1.63,0.4476,0
wc2002-japan-belgium,2002-06-04,2002,GROUP_STAGE,Japan,Belgium,DRAW,2,2,0.3551,0.29,0.3548,1.35,1.35,0.3551,0,0.2477,0.2138,0.5385,1.56,1.86,0.5385,0,0.2799,0.2367,0.4834,1.5,1.71,0.4834,0
wc2002-korea-republic-poland,2002-06-04,2002,GROUP_STAGE,Korea Republic,Poland,HOME,2,0,0.3551,0.29,0.3548,1.35,1.35,0.3551,1,0.4538,0.2088,0.3374,3.65,1.56,0.4538,1,0.4242,0.2332,0.3426,2.96,1.5,0.4242,1
wc2002-russia-tunisia,2002-06-05,2002,GROUP_STAGE,Russia,Tunisia,HOME,2,0,0.3551,0.29,0.3548,1.35,1.35,0.3551,1,0.4528,0.2284,0.3188,2.75,1.35,0.4528,1,0.4235,0.2469,0.3296,2.33,1.35,0.4235,1
