matchId,date,year,stage,homeTeam,awayTeam,actualOutcome,homeScore,awayScore,eloDiff,elo_homeWin,elo_draw,elo_awayWin,elo_xgHome,elo_xgAway,elo_confidence,elo_correct,ml_homeWin,ml_draw,ml_awayWin,ml_xgHome,ml_xgAway,ml_confidence,ml_correct,ensemble_homeWin,ensemble_draw,ensemble_awayWin,ensemble_xgHome,ensemble_xgAway,ensemble_confidence,ensemble_correct
wc2026-jordan-argentina,2026-06-27,2026,Group J,Jordan,Argentina,AWAY,1,3,-466,0.0236,0.1263,0.8501,0.3,2.51,0.8501,1,0.1352,0.1433,0.7215,1.31,3.4,0.7215,1,0.1017,0.1382,0.7601,1.01,3.13,0.7601,1
wc2026-colombia-portugal,2026-06-27,2026,Group K,Colombia,Portugal,DRAW,0,0,-59,0.2896,0.2864,0.424,1.2,1.5,0.424,0,0.3836,0.294,0.3224,2.44,1.59,0.3836,0,0.3554,0.2917,0.3529,2.07,1.56,0.3554,0
wc2026-dr-congo-uzbekistan,2026-06-27,2026,Group K,DR Congo,Uzbekistan,HOME,3,1,63,0.4294,0.2859,0.2847,1.51,1.19,0.4294,1,0.23,0.214,0.556,1.86,2,0.556,0,0.2898,0.2356,0.4746,1.75,1.76,0.4746,0
wc2026-croatia-ghana,2026-06-27,2026,Group L,Croatia,Ghana,HOME,2,1,163,0.5508,0.2631,0.1861,1.76,0.94,0.5508,1,0.7793,0.1356,0.0851,3.38,0.82,0.7793,1,0.7108,0.1739,0.1154,2.89,0.86,0.7108,1
wc2026-panama-england,2026-06-27,2026,Group L,Panama,England,AWAY,0,2,-415,0.0281,0.1407,0.8312,0.31,2.39,0.8312,1,0.2605,0.2139,0.5256,1.72,1.83,0.5256,1,0.1908,0.1919,0.6173,1.3,2,0.6173,1
wc2026-south-africa-canada,2026-06-28,2026,Round of 32,South Africa,Canada,AWAY,0,1,-151,0.1964,0.2666,0.537,0.97,1.73,0.537,1,0.4522,0.2095,0.3383,3.5,1.54,0.4522,0,0.3755,0.2266,0.3979,2.74,1.6,0.3979,1
wc2026-brazil-japan,2026-06-29,2026,Round of 32,Brazil,Japan,HOME,2,1,123,0.502,0.2745,0.2235,1.66,1.04,0.502,1,0.6371,0.211,0.1519,2.94,1.03,0.6371,1,0.5966,0.2301,0.1734,2.56,1.03,0.5966,1
wc2026-germany-paraguay,2026-06-29,2026,Round of 32,Germany,Paraguay,DRAW,1,1,231,0.6332,0.2374,0.1295,1.93,0.77,0.6332,0,0.6825,0.2019,0.1156,2.69,0.85,0.6825,0,0.6677,0.2126,0.1198,2.46,0.83,0.6677,0
wc2026-netherlands-morocco,2026-06-29,2026,Round of 32,Netherlands,Morocco,DRAW,1,1,18,0.3756,0.2897,0.3346,1.39,1.31,0.3756,0,0.424,0.2752,0.3008,2.65,1.44,0.424,0,0.4095,0.2795,0.3109,2.27,1.4,0.4095,0
wc2026-france-sweden,2026-06-30,2026,Round of 32,France,Sweden,HOME,3,0,277,0.6863,0.2164,0.0973,2.04,0.66,0.6863,1,0.7118,0.1842,0.104,2.8,0.84,0.7118,1,0.7042,0.1939,0.102,2.57,0.79,0.7042,1
